# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# And altered by Lars Emil Knudsen
#
# COLUMN psys_name:		 Planet System name		 
# COLUMN psys_pictureurl:Picture picture url
# COLUMN st_name:		 Star name
# COLUMN st_mass: 		 Star mass (kg)
# COLUMN st_radius: 	 Star radius (km)
# COLUMN st_efftemp:	 Star effective temperature (Kelvin)
# COLUMN st_pictureurl:  Star picture url
# COLUMN pl_name:	     Planet name
# COLUMN pl_mass:		 Planet mass (kg)
# COLUMN pl_radius: 	 Planet radius (km)
# COLUMN pl_semimajor:	 PLanet Semi-majo Axis (km)
# COLUMN pl_ecc:		 Planet Eccentricity
# COLUMN pl_orbper:		 Planet Orbital period (days)
# COLUMN pl_pictureurl:  Planet picture url
# psys_name,psys_pictureurl,st_name,st_mass,st_radius,st_efftemp,st_pictureurl,pl_name,pl_mass,pl_radius,pl_semimajor,pl_ecc,pl_orbper,pl_pictureurl
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Mercury,3.283E23,2439.7,0.387,0.206,88.0,http://bit.ly/2TB2Heo
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Venus,4.867E24,6051.8,0.723,0.007,225.0,http://bit.ly/2W3p4L9
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Earth,5.972E24,6371.0,1.0,0.017,365.0,http://bit.ly/33bvXLZ
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Mars,6.39E23,3389.5,1.524,0.093,687.0,http://bit.ly/3aGyFvr
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Jupiter,1.898E27,69911.0,5.2044,0.049,4380.0,http://bit.ly/2Q0fjK3
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Saturn,5.683E26,58232.0,9.5826,0.057,10585.0,http://bit.ly/2W0sqic
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Uranus,8.681E25,25362.0,19.2184,0.046,30660.0,http://bit.ly/335pbHy
Solar System,http://bit.ly/3cVhuZc,Sun,1.9885E30,695342.0,5777.0,http://bit.ly/333CTus,Neptune,1.024E26,24622.0,30.11,0.01,60225.0,http://bit.ly/38AyEba
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 b,1.1388E25,11510.212,1.3613406261E7,0.045,10.3039,http://bit.ly/2Q2PngD
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 c,1.7081999999999998E25,18301.952,1.6006972196999999E7,0.026,13.0241,http://bit.ly/2Q2PngD
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 d,4.3654E25,19874.776,2.3187670005E7,0.004,22.6845,http://bit.ly/2Q2PngD
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 e,4.745E25,26738.008,2.9171584845000003E7,0.012,31.9996,http://bit.ly/2Q2PngD
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 f,1.1388E25,15871.224,3.739946775E7,0.013,46.6888,http://bit.ly/2Q2PngD
Kepler-11 System,http://bit.ly/39z5RVD,Kepler-11,1.9093631999999998E30,737442.0,5663.0,http://bit.ly/2Iz4jPB,Kepler-11 g,1.49942E26,21233.124,6.9712607886E7,0.15,118.3807,http://bit.ly/2Q2PngD
HAT-P-7 System,http://bit.ly/2Iz4jPB,HAT-P-7,3.1027152E30,1391400.0,6389.0,http://bit.ly/336nzNZ,HAT-P-7 b,3.4923200000000003E27,107952.92,0.0,0.0,2.20474,http://bit.ly/2Q2PngD
OGLE2-TR-L9 System,http://bit.ly/2Iz4jPB,OGLE2-TR-L9,3.0231584E30,1064421.0,6933.0,http://bit.ly/336nzNZ,OGLE2-TR-L9 b,8.541E27,115102.12000000001,4607614.4268000005,0.0,2.4855335,http://bit.ly/2Q2PngD
K2-100 System,http://bit.ly/2Iz4jPB,K2-100,2.4463715999999998E30,848754.0,6168.0,http://bit.ly/336nzNZ,K2-100 b,0.0,22877.44,4428096.9816000005,0.0,1.673833,http://bit.ly/2Q2PngD
Kepler-424 System,http://bit.ly/2Iz4jPB,Kepler-424,2.0088092E30,653958.0,5460.0,http://bit.ly/336nzNZ,Kepler-424 b,1.95494E27,63627.88,6582306.324,0.0,3.3118644,http://bit.ly/2Q2PngD
Kepler-424 System,http://bit.ly/2Iz4jPB,Kepler-424,2.0088092E30,653958.0,5460.0,http://bit.ly/336nzNZ,Kepler-424 c,1.322906E28,0.0,1.0920644583E8,0.0,223.3,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 b,4.3654E25,8436.055999999999,0.0,0.0,6.88705,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 c,4.209764E25,14012.432,0.0,0.0,12.8159,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 d,1.791712E25,10294.848,0.0,0.0,35.3331,http://bit.ly/2Q2PngD
